Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,281,0,62,2,0,216,267,112,280,168
1952,288,12,96,6,0,250,228,95,285,190
1953,276,15,65,4,0,200,273,130,328,198
1954,300,20,74,1,0,229,257,117,319,202
1955,276,22,106,0,0,220,241,142,291,149
1956,299,33,89,0,0,226,250,113,281,168
1957,295,8,55,8,1,220,274,128,323,195
1958,277,8,79,0,0,234,246,112,314,202
1959,259,7,68,6,0,146,269,124,278,154
1960,290,12,59,0,0,227,273,123,288,165
1961,288,15,50,6,0,231,284,86,308,222
1962,304,23,80,0,0,229,236,120,295,175
1963,284,60,100,3,0,206,251,116,301,185
1964,274,16,81,10,0,183,248,97,294,197
1965,307,19,79,0,0,247,239,91,294,203
1966,280,20,67,1,0,235,260,104,301,197
1967,275,8,47,2,0,229,265,123,311,188
1968,277,20,79,2,0,211,236,102,318,216
1969,273,30,101,5,0,202,237,109,309,200
1970,285,27,81,1,0,227,240,99,296,197
1971,276,15,65,3,0,193,264,119,287,168
1972,307,8,60,4,0,186,264,115,292,177
1973,266,4,64,6,0,208,240,111,284,173
1974,291,0,24,2,0,228,287,115,309,194
1975,269,4,52,9,0,204,256,100,299,199
1976,274,15,71,9,0,182,261,119,323,204
1977,287,3,47,0,0,222,276,109,329,220
1978,305,21,72,2,0,219,260,107,311,204
1979,285,22,80,1,0,225,238,126,299,173
1980,292,20,74,2,0,221,252,113,305,192
1981,284,17,84,4,0,231,250,122,310,188
1982,261,8,63,8,0,197,262,104,309,205
1983,270,10,64,9,0,212,268,87,295,208
1984,306,4,62,4,1,211,253,108,319,211
1985,274,40,95,2,0,223,243,117,298,181
1986,291,33,69,3,0,201,261,103,332,229
1987,289,33,78,2,0,228,258,90,308,218
1988,275,2,47,0,0,241,276,116,303,187
1989,268,3,53,5,0,190,280,118,316,198
1990,279,1,37,7,0,212,292,107,312,205
1991,279,11,72,4,0,193,255,124,299,175
1992,257,9,37,6,1,211,273,111,286,175
1993,284,15,67,0,0,225,259,88,290,202
1994,277,6,37,17,0,219,285,108,289,181
1995,271,16,76,11,0,209,261,110,294,184
1996,297,40,98,3,0,188,231,126,318,192
1997,263,13,61,5,0,199,261,112,293,181
1998,278,10,57,6,0,247,283,103,316,213
1999,258,5,49,7,0,229,278,109,289,180
2000,265,2,36,4,0,244,303,100,353,253
2001,262,8,69,6,0,247,260,112,312,200
2002,263,9,52,7,1,228,295,98,280,182
2003,253,13,81,17,1,183,256,101,288,187
2004,278,3,72,7,0,236,254,102,313,211
2005,272,14,67,7,0,235,267,111,321,210
2006,242,10,75,14,0,222,264,100,305,205
2007,262,5,33,5,0,228,302,110,292,182
2009,265,13,68,5,0,221,270,89,286,197
2010,275,53,98,13,1,209,248,124,286,162
2011,260,6,64,3,0,186,281,124,315,191
2012,270,18,57,5,0,214,288,107,300,193
2013,272,22,84,11,0,220,256,97,318,221
2014,279,4,35,5,0,216,303,123,328,205
2015,280,0,43,11,1,217,284,118,284,166
2016,250,6,67,11,0,222,272,108,312,204
2017,261,8,53,5,0,232,282,129,332,203
2018,235,9,63,20,0,180,269,95,306,211
2019,255,2,56,19,1,209,286,134,301,167
2020,270,0,35,9,2,207,302,135,333,198
2021,257,9,66,2,0,227,273,127,313,186
2022,248,5,52,19,0,188,292,106,317,211
2023,241,3,54,11,0,244,296,122,325,203
2024,242,4,33,10,0,229,308,113,307,194
2025,148,1,52,4,0,85,141,98,198,100
