Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,274,17,117,5,0,175,0,223,132,280,148
1952,272,37,126,14,0,212,0,215,95,282,187
1953,274,38,131,3,0,151,0,231,133,281,148
1954,290,39,109,2,0,207,1,227,113,282,169
1955,280,40,130,1,0,202,0,212,140,291,151
1956,297,49,123,0,0,187,1,217,124,282,158
1957,302,27,109,8,1,178,0,233,148,274,126
1958,276,24,120,3,0,190,0,223,114,295,181
1959,278,27,126,4,0,135,0,224,123,261,138
1960,283,34,99,2,0,194,0,243,124,272,148
1961,281,28,89,6,0,182,0,248,86,307,221
1962,279,44,120,7,0,177,0,210,120,289,169
1963,272,74,119,8,0,173,0,231,98,288,190
1964,266,44,109,13,0,169,0,226,117,266,149
1965,302,30,116,4,0,220,0,222,104,285,181
1966,275,21,90,2,0,199,0,242,92,303,211
1967,268,27,99,13,0,184,0,230,114,291,177
1968,282,35,112,1,0,180,0,225,104,293,189
1969,270,48,121,8,0,162,0,222,110,305,195
1970,284,46,113,2,0,200,0,218,119,288,169
1971,275,33,108,17,0,149,0,230,118,278,160
1972,294,34,113,11,0,142,0,236,116,269,153
1973,258,32,124,7,0,176,0,206,115,285,170
1974,283,5,58,4,0,195,0,233,109,288,179
1975,263,16,94,2,0,170,0,220,100,303,203
1976,273,32,103,15,0,148,0,237,135,313,178
1977,274,21,77,3,0,195,0,252,110,320,210
1978,298,35,108,0,0,207,0,219,131,292,161
1979,273,23,109,1,0,198,0,228,127,293,166
1980,302,35,111,2,0,202,0,215,125,277,152
1981,277,37,107,3,0,213,0,233,122,297,175
1982,254,31,99,11,0,163,0,235,117,309,192
1983,266,32,102,15,0,163,0,234,93,294,201
1984,295,22,121,3,0,161,0,217,129,302,173
1985,271,51,120,4,0,186,0,218,123,292,169
1986,277,44,104,5,0,179,0,218,103,306,203
1987,281,43,101,3,0,200,0,235,102,307,205
1988,269,12,86,7,0,207,0,234,115,304,189
1989,265,26,88,4,0,183,0,251,113,276,163
1990,275,23,91,8,0,184,0,248,102,294,192
1991,278,33,102,7,0,164,0,229,114,294,180
1992,254,21,80,18,0,180,0,231,112,286,174
1993,262,34,100,5,0,201,0,238,98,299,201
1994,260,9,66,24,1,195,0,263,108,277,169
1995,279,29,102,17,0,204,0,234,134,294,160
1996,278,50,129,5,0,173,0,221,107,297,190
1997,260,26,99,4,0,158,0,241,113,294,181
1998,267,27,91,17,0,204,0,253,104,309,205
1999,247,25,88,4,0,192,0,238,107,289,182
2000,256,15,65,14,0,204,0,264,97,323,226
2001,264,17,86,13,0,211,0,237,112,312,200
2002,252,26,74,10,0,189,0,267,100,281,181
2003,238,25,118,42,2,137,0,216,101,287,186
2004,270,24,96,11,0,204,0,239,102,285,183
2005,257,29,108,15,0,193,0,236,130,290,160
2006,250,30,105,21,0,193,0,242,97,289,192
2007,260,15,72,13,0,194,0,265,94,287,193
2008,255,5,95,19,0,196,0,252,98,291,193
2009,247,27,88,10,0,204,0,240,83,286,203
2010,275,52,109,16,0,207,0,238,112,293,181
2011,253,20,108,7,0,162,0,249,124,287,163
2012,249,22,89,15,0,198,0,257,107,284,177
2013,265,25,102,24,0,190,0,228,97,275,178
2014,258,5,71,10,0,181,0,269,106,324,218
2015,260,6,87,38,0,165,0,259,108,284,176
2016,246,16,89,15,0,185,0,244,120,307,187
2017,264,20,88,26,0,187,0,255,129,307,178
2018,221,9,85,39,0,169,0,255,95,268,173
2019,252,11,78,27,0,181,0,262,126,303,177
2020,256,6,81,21,0,168,0,254,106,293,187
2021,258,10,110,12,0,201,0,238,127,282,155
2022,241,6,79,32,0,174,0,264,109,318,209
2023,233,5,72,27,0,185,0,274,96,288,192
2024,239,14,54,27,0,194,1,277,112,325,213
