Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,252,8,56,11,0,174,0,274,112,280,168
1952,244,10,77,20,5,183,0,248,95,286,191
1953,238,8,80,14,0,140,0,267,130,283,153
1954,260,24,60,9,0,189,0,272,101,313,212
1955,259,9,108,5,0,172,0,249,131,291,160
1956,264,31,92,5,0,176,0,258,111,303,192
1957,270,9,56,12,3,159,0,282,104,277,173
1958,239,8,70,5,0,186,1,262,107,294,187
1959,235,7,74,20,1,132,0,279,111,280,169
1960,251,9,48,1,0,185,0,284,123,312,189
1961,244,12,51,16,0,184,0,286,86,309,223
1962,264,13,80,8,0,156,0,252,84,295,211
1963,250,52,96,9,1,163,0,256,93,301,208
1964,238,18,77,22,2,153,0,256,98,299,201
1965,275,5,65,3,1,214,0,257,71,295,224
1966,242,13,48,6,0,200,0,276,84,303,219
1967,254,12,58,14,0,196,0,282,114,312,198
1968,247,10,74,4,0,214,1,255,103,316,213
1969,257,24,85,15,1,203,0,253,109,309,200
1970,246,18,78,8,0,212,0,256,93,296,203
1971,244,15,65,16,0,147,0,263,90,279,189
1972,271,13,67,10,0,157,1,275,116,292,176
1973,240,4,73,18,1,164,0,246,111,285,174
1974,256,0,26,7,0,215,0,300,68,290,222
1975,238,1,46,15,1,169,0,263,100,325,225
1976,244,13,63,25,5,156,0,274,120,325,205
1977,253,6,41,3,0,204,0,285,100,331,231
1978,272,9,58,4,0,179,1,272,107,331,224
1979,245,17,52,7,0,174,0,273,95,314,219
1980,258,13,62,4,0,179,0,270,64,306,242
1981,241,13,71,7,0,194,0,259,113,311,198
1982,234,16,51,17,1,183,1,278,103,319,216
1983,246,9,63,21,4,185,0,274,71,295,224
1984,264,1,51,8,1,183,0,263,95,318,223
1985,233,34,85,5,1,163,0,257,116,298,182
1986,264,20,63,9,1,185,0,266,102,312,210
1987,254,26,77,5,2,189,0,261,91,309,218
1988,243,2,40,7,1,209,0,283,100,304,204
1989,238,5,52,11,1,160,0,291,77,313,236
1990,247,2,40,17,1,179,0,297,61,296,235
1991,252,13,72,19,5,148,0,264,111,299,188
1992,234,8,44,21,3,171,1,290,66,287,221
1993,239,17,66,12,0,181,0,273,88,316,228
1994,239,1,29,24,2,204,0,311,63,334,271
1995,256,9,55,18,0,192,0,273,89,307,218
1996,269,18,85,6,0,175,0,248,106,326,220
1997,239,18,62,13,0,179,0,281,113,294,181
1998,245,8,63,18,0,175,0,288,103,315,212
1999,223,3,50,16,1,190,0,288,76,318,242
2000,239,4,32,7,0,193,0,309,97,329,232
2001,244,3,63,20,0,186,0,277,103,313,210
2002,240,15,44,10,0,180,0,315,86,313,227
2003,224,10,81,40,5,148,0,276,101,291,190
2004,242,8,73,22,0,180,0,266,99,312,213
2005,240,11,74,28,2,189,0,265,111,321,210
2006,223,10,74,26,5,183,0,273,96,305,209
2007,229,7,43,12,2,179,0,304,69,292,223
2008,241,1,71,17,0,190,0,283,98,318,220
2009,218,13,78,17,0,179,0,282,83,287,204
2010,249,32,95,20,1,212,0,254,111,293,182
2011,208,4,62,13,0,177,0,294,123,293,170
2012,235,15,59,19,1,187,0,300,107,301,194
2013,249,10,83,19,2,183,0,255,97,303,206
2014,226,2,40,11,0,184,0,312,84,341,257
2015,243,0,61,33,5,156,0,289,97,326,229
2016,233,6,64,16,0,165,1,284,114,307,193
2017,247,7,67,20,0,166,0,285,113,303,190
2018,214,5,57,37,2,148,0,294,95,303,208
2019,233,5,60,33,1,176,0,290,101,313,212
2020,223,1,46,20,3,159,0,301,105,310,205
2021,243,5,60,11,0,185,0,282,104,296,192
2022,222,6,51,40,0,155,0,294,100,330,230
2023,216,1,51,27,0,170,0,305,95,288,193
2024,223,5,40,24,0,184,0,320,113,325,212
