Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,251,7,53,10,0,177,0,276,105,282,177
1952,245,10,80,19,5,190,0,249,95,286,191
1953,239,8,79,14,0,141,0,267,130,283,153
1954,260,24,64,9,0,190,0,273,109,313,204
1955,259,10,107,4,0,178,0,249,115,291,176
1956,264,29,91,4,0,183,0,258,111,303,192
1957,269,9,60,12,3,164,0,281,104,277,173
1958,239,9,70,5,0,188,1,262,107,294,187
1959,236,7,72,20,1,136,0,279,111,280,169
1960,252,9,47,1,0,189,0,283,123,312,189
1961,245,12,53,17,0,180,0,286,86,309,223
1962,264,14,78,8,0,165,0,250,84,295,211
1963,249,53,96,9,1,163,0,257,93,303,210
1964,238,18,76,22,2,151,0,257,98,299,201
1965,275,5,65,3,1,218,0,260,71,295,224
1966,241,13,46,5,0,197,0,275,84,303,219
1967,253,12,55,14,0,195,0,283,114,312,198
1968,247,10,74,5,0,211,0,255,103,316,213
1969,257,23,84,15,1,202,0,250,109,309,200
1970,246,18,78,9,0,210,0,255,93,296,203
1971,244,16,65,18,0,149,0,262,118,279,161
1972,271,13,66,11,0,160,1,274,116,292,176
1973,240,5,73,17,1,166,0,247,111,285,174
1974,255,0,25,7,0,217,0,300,70,290,220
1975,238,1,45,15,1,167,0,261,100,325,225
1976,243,13,64,25,4,156,0,273,120,325,205
1977,254,6,43,3,0,209,0,286,100,331,231
1978,274,10,61,4,0,183,1,273,107,330,223
1979,246,17,54,6,0,188,0,273,95,314,219
1980,258,13,65,4,0,183,0,269,64,306,242
1981,242,13,73,8,0,204,0,258,113,311,198
1982,233,16,53,18,1,193,0,278,103,319,216
1983,246,9,63,23,4,189,0,273,71,295,224
1984,264,1,49,8,0,190,0,259,95,323,228
1985,235,34,89,5,1,168,0,257,116,294,178
1986,264,18,66,11,1,188,0,265,102,302,200
1987,256,26,77,5,2,193,0,261,91,309,218
1988,244,2,43,7,1,208,0,282,100,304,204
1989,239,5,55,12,1,161,0,290,77,313,236
1990,247,2,41,18,1,181,0,296,66,296,230
1991,251,13,74,20,5,151,0,265,111,299,188
1992,234,8,49,22,3,177,1,292,77,287,210
1993,237,15,68,12,0,186,0,272,88,300,212
1994,239,1,30,23,3,211,0,310,85,334,249
1995,254,9,56,19,0,191,0,273,89,307,218
1996,269,18,87,6,0,173,0,248,106,326,220
1997,239,18,62,13,0,182,0,280,113,294,181
1998,245,8,64,18,0,181,0,289,103,315,212
1999,223,3,52,16,1,197,0,287,76,318,242
2000,239,4,32,7,0,198,0,308,97,329,232
2001,244,3,63,21,0,195,0,277,103,313,210
2002,240,14,44,10,0,182,0,315,86,313,227
2003,224,10,81,39,7,152,0,278,101,290,189
2004,241,8,72,22,0,184,0,266,99,312,213
2005,240,11,76,25,1,190,0,266,111,321,210
2006,223,11,74,24,4,186,0,272,96,305,209
2007,227,7,45,12,2,188,0,304,78,292,214
2008,240,1,73,17,0,191,0,284,98,317,219
2009,218,13,77,16,0,178,0,281,83,287,204
2010,249,32,95,21,1,214,0,254,111,293,182
2011,210,4,62,12,0,177,0,294,123,293,170
2012,235,15,59,18,0,188,0,300,107,301,194
2013,249,8,84,19,2,187,0,256,97,303,206
2014,226,2,40,11,0,184,0,312,84,341,257
2015,240,0,62,33,6,157,0,290,97,326,229
2016,233,6,64,17,0,172,1,284,119,307,188
2017,246,7,65,22,0,169,0,286,113,303,190
2018,212,4,55,39,2,145,0,294,95,303,208
2019,232,5,58,33,1,176,0,291,101,313,212
2020,223,1,45,19,3,159,0,302,105,310,205
2021,243,5,60,11,0,183,0,283,104,296,192
2022,222,6,52,40,1,156,0,293,100,330,230
2023,215,1,50,28,0,173,0,305,95,288,193
2024,224,5,41,24,0,190,0,320,113,325,212
