Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,280,9,82,4,0,172,247,112,279,167
1952,287,31,117,7,1,222,212,140,292,152
1953,265,31,86,2,0,169,254,129,313,184
1954,289,34,100,2,0,210,231,133,309,176
1955,284,33,116,0,0,221,213,140,291,151
1956,305,54,114,0,0,216,207,113,281,168
1957,300,15,88,8,1,212,248,148,269,121
1958,277,19,97,2,0,216,223,107,311,204
1959,280,20,85,4,0,154,250,110,260,150
1960,287,25,86,2,0,210,248,119,288,169
1961,288,18,64,4,0,197,264,86,322,236
1962,300,34,105,3,0,204,217,120,288,168
1963,278,66,112,6,0,186,241,116,288,172
1964,278,33,103,11,0,176,224,97,299,202
1965,304,30,111,1,0,225,221,109,283,174
1966,285,24,89,2,0,213,244,88,302,214
1967,274,20,80,6,0,208,239,114,311,197
1968,284,34,103,0,0,212,228,141,293,152
1969,282,48,120,3,0,188,222,110,309,199
1970,288,39,106,1,0,237,212,119,287,168
1971,289,23,85,9,0,194,233,123,277,154
1972,310,13,89,8,0,163,243,116,275,159
1973,277,20,114,2,0,199,207,113,284,171
1974,298,1,50,5,0,209,248,115,309,194
1975,268,10,68,3,0,162,238,100,283,183
1976,273,32,104,5,0,180,229,120,300,180
1977,291,17,72,0,0,209,254,109,330,221
1978,307,21,94,0,0,207,247,131,311,180
1979,284,24,102,2,0,205,223,130,295,165
1980,305,36,107,1,0,213,222,136,305,169
1981,286,35,105,0,0,220,229,114,297,183
1982,262,14,87,3,0,160,249,112,309,197
1983,273,23,80,9,2,185,252,93,297,204
1984,310,19,94,4,0,191,224,119,301,182
1985,284,52,102,1,0,206,228,118,296,178
1986,286,42,77,4,0,200,244,103,306,203
1987,293,51,104,1,0,226,238,89,303,214
1988,279,10,79,5,0,216,241,117,304,187
1989,274,6,64,5,0,175,264,107,316,209
1990,291,8,51,8,0,197,266,99,294,195
1991,279,19,99,5,0,189,237,127,293,166
1992,258,13,64,9,0,190,243,111,284,173
1993,273,25,100,0,0,197,234,100,290,190
1994,274,11,62,17,0,194,262,104,279,175
1995,278,26,94,5,0,216,239,94,294,200
1996,300,50,124,2,0,195,220,106,326,220
1997,266,16,83,1,0,188,233,113,293,180
1998,279,28,67,6,1,215,259,104,315,211
1999,257,13,70,3,0,204,250,108,289,181
2000,257,5,52,8,0,184,270,101,352,251
2001,273,18,92,6,0,217,236,109,312,203
2002,259,18,72,6,0,190,264,99,308,209
2003,250,22,106,20,0,155,234,102,286,184
2004,277,18,93,1,0,206,240,102,284,182
2005,271,29,94,4,0,199,245,111,318,207
2006,252,30,88,13,0,195,252,95,304,209
2007,260,10,52,5,1,216,273,110,293,183
2009,261,29,84,2,0,211,246,90,292,202
2010,282,63,108,10,2,210,233,112,290,178
2011,251,17,79,3,0,164,263,123,287,164
2012,261,27,71,9,0,201,262,107,300,193
2013,266,40,97,11,0,207,238,97,315,218
2014,272,11,47,6,0,185,287,123,328,205
2015,278,5,63,20,3,188,270,96,283,187
2016,246,10,80,8,0,199,249,115,307,192
2017,264,17,71,7,0,211,260,113,317,204
2018,228,20,76,22,3,159,259,95,319,224
2019,253,6,56,21,1,185,271,124,302,178
2020,261,2,51,10,0,180,279,132,314,182
2021,260,15,97,3,2,215,248,116,314,198
2022,254,7,69,14,1,177,269,109,316,207
2023,246,10,63,12,1,209,279,98,324,226
2024,232,9,47,18,0,188,287,113,313,200
