Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,255,12,50,6,0,267,111,345,234
1952,267,17,102,4,1,220,93,313,220
1953,245,14,70,12,0,268,86,314,228
1954,253,38,79,6,1,245,100,320,220
1955,272,31,97,2,0,230,108,304,196
1956,269,41,84,1,0,238,98,304,206
1957,276,8,66,8,1,263,111,317,206
1958,253,5,84,3,0,241,101,331,230
1959,243,12,66,7,2,265,110,320,210
1960,254,20,64,3,0,260,97,314,217
1961,260,19,50,5,0,272,90,322,232
1962,284,26,82,1,0,243,85,320,235
1963,248,56,103,10,1,251,93,335,242
1964,258,27,87,11,1,238,97,312,215
1965,278,24,92,1,0,238,81,285,204
1966,253,33,77,4,1,248,104,303,199
1967,246,10,56,3,0,268,113,311,198
1968,256,26,85,8,0,245,102,293,191
1969,260,51,117,11,1,226,110,309,199
1970,264,40,95,5,0,233,104,310,206
1971,256,17,62,13,2,260,115,288,173
1972,270,20,68,10,2,252,115,292,177
1973,262,10,71,8,0,235,103,285,182
1974,264,0,35,5,0,279,115,309,194
1975,232,5,34,17,12,276,85,325,240
1976,246,16,66,14,6,261,83,340,257
1977,252,4,29,4,2,287,90,331,241
1978,271,20,58,8,4,268,95,314,219
1979,244,25,77,7,4,247,107,298,191
1980,266,24,79,2,0,247,85,305,220
1981,257,23,74,4,1,256,113,313,200
1982,228,16,53,20,10,273,66,309,243
1983,247,10,47,13,6,277,71,317,246
1984,265,12,63,6,3,252,83,317,234
1985,246,40,73,7,3,245,87,307,220
1986,276,36,68,10,3,258,103,333,230
1987,270,38,82,2,3,253,81,303,222
1988,241,5,48,2,2,265,114,299,185
1989,243,6,42,10,4,281,92,321,229
1990,250,2,27,10,2,301,98,332,234
1991,252,16,61,8,6,256,111,298,187
1992,239,10,41,16,3,275,111,292,181
1993,258,18,70,3,0,251,100,290,190
1994,252,9,42,22,9,280,108,290,182
1995,249,21,73,17,5,262,88,294,206
1996,270,45,106,5,1,228,103,328,225
1997,248,15,84,10,0,248,112,289,177
1998,243,17,53,9,2,285,84,321,237
1999,231,5,44,7,4,273,77,318,241
2000,223,8,32,10,3,300,100,354,254
2001,247,8,66,12,3,251,86,313,227
2002,234,16,54,10,7,275,96,307,211
2003,227,15,70,18,6,254,100,295,195
2004,244,12,60,5,3,262,86,325,239
2005,245,10,62,9,1,263,110,327,217
2006,228,20,71,24,16,269,82,305,223
2007,238,5,29,10,3,301,54,317,263
2008,241,7,32,16,4,290,86,326,240
2009,227,18,63,6,0,267,83,304,221
2010,262,57,103,17,12,249,73,327,254
2011,221,11,61,5,0,272,85,287,202
2012,249,26,76,11,0,271,104,301,197
2013,245,25,88,10,3,249,97,327,230
2014,242,18,36,13,1,300,71,331,260
2015,259,1,52,20,4,282,96,284,188
2016,229,10,64,12,2,267,76,313,237
2017,242,14,62,6,0,272,119,317,198
2018,210,8,63,31,6,262,91,320,229
2019,241,4,42,25,2,291,124,302,178
2020,245,0,39,17,2,295,91,324,233
2021,249,15,73,11,3,264,116,314,198
2022,240,13,57,20,1,281,92,321,229
2023,230,6,55,13,1,286,95,290,195
2024,220,7,47,19,2,293,113,307,194
