Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,257,6,53,5,0,175,0,272,120,287,167
1952,255,12,84,15,4,194,0,239,95,285,190
1953,246,8,66,12,0,137,0,268,130,281,151
1954,265,22,63,6,0,202,0,265,109,308,199
1955,262,18,100,2,0,194,0,238,114,291,177
1956,279,32,88,1,0,191,0,253,111,305,194
1957,282,10,67,8,1,162,0,273,128,277,149
1958,251,8,68,1,0,184,0,256,107,334,227
1959,236,7,73,17,0,128,0,267,111,288,177
1960,261,8,56,2,0,185,0,278,123,312,189
1961,263,14,51,10,0,179,0,284,84,309,225
1962,272,18,93,4,0,160,0,238,120,288,168
1963,257,49,100,6,0,152,0,249,93,301,208
1964,249,18,76,20,2,161,0,257,78,295,217
1965,284,5,74,1,0,224,0,247,71,296,225
1966,256,14,51,5,0,199,0,270,84,303,219
1967,261,11,58,12,0,184,0,272,114,311,197
1968,261,16,75,2,0,200,0,245,102,316,214
1969,264,31,81,7,2,183,0,237,109,309,200
1970,257,20,80,3,0,197,0,239,97,296,199
1971,254,17,59,9,0,146,0,265,81,307,226
1972,269,14,61,7,2,139,0,272,116,292,176
1973,245,5,66,18,2,133,0,250,111,284,173
1974,261,0,19,4,0,191,0,286,61,290,229
1975,241,2,48,12,3,155,0,258,100,316,216
1976,246,14,58,24,5,141,0,274,120,308,188
1977,260,3,40,2,0,180,0,281,106,331,225
1978,274,13,56,3,0,161,1,264,107,292,185
1979,254,18,60,4,0,163,0,260,126,314,188
1980,268,15,67,2,0,170,0,267,80,304,224
1981,250,19,76,8,0,175,2,253,112,310,198
1982,240,16,57,17,1,146,0,266,77,319,242
1983,253,12,64,19,4,165,0,269,93,294,201
1984,270,2,47,7,0,180,0,252,108,318,210
1985,252,36,87,3,0,152,0,250,79,299,220
1986,268,22,68,9,3,165,0,262,102,302,200
1987,263,26,76,3,0,171,0,259,90,333,243
1988,246,2,36,7,0,184,0,281,101,304,203
1989,245,5,52,11,1,139,0,280,77,313,236
1990,261,3,34,13,0,160,0,287,99,296,197
1991,258,16,71,18,4,138,0,258,111,301,190
1992,240,6,44,16,1,155,0,281,96,287,191
1993,241,19,66,13,0,157,0,264,88,302,214
1994,245,2,35,25,6,156,0,302,96,280,184
1995,256,8,52,23,0,171,0,267,89,307,218
1996,275,26,75,9,0,138,0,244,105,326,221
1997,244,16,49,16,0,144,0,274,113,295,182
1998,245,8,61,17,0,153,0,282,103,320,217
1999,227,3,49,16,1,163,1,284,76,318,242
2000,241,5,26,9,0,169,0,305,57,351,294
2001,246,3,58,18,2,166,0,275,109,312,203
2002,241,15,40,9,1,159,0,312,96,340,244
2003,226,10,67,31,9,109,0,279,101,291,190
2004,245,6,63,14,1,137,0,266,88,318,230
2005,238,7,64,26,3,154,0,270,73,322,249
2006,227,11,63,28,9,144,0,274,95,305,210
2007,227,7,31,12,2,141,0,309,51,318,267
2008,242,2,60,11,2,180,0,281,98,318,220
2009,221,15,58,11,0,185,0,284,83,287,204
2010,250,38,87,16,4,203,0,257,91,293,202
2011,210,5,48,8,0,169,0,289,79,295,216
2012,244,15,47,13,1,181,0,297,107,301,194
2013,251,17,71,15,3,178,0,255,97,315,218
2014,230,1,15,9,0,179,0,307,83,341,258
2015,249,1,37,25,5,164,0,291,96,326,230
2016,236,8,50,13,0,177,0,280,118,312,194
2017,247,7,47,14,0,178,0,285,113,333,220
2018,209,7,51,37,6,144,0,291,95,325,230
2019,235,3,41,28,3,174,0,300,78,313,235
2020,226,0,31,20,2,161,0,304,104,324,220
2021,244,5,43,6,0,173,0,278,104,314,210
2022,224,7,39,34,1,157,0,297,93,343,250
2023,220,1,39,19,0,197,0,302,95,325,230
2024,230,6,36,17,1,191,0,314,113,325,212
2025,132,4,42,12,0,74,0,159,78,208,130
