Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,263,7,53,5,1,182,275,119,282,163
1952,255,13,83,15,3,196,241,95,285,190
1953,246,10,69,13,0,150,266,130,312,182
1954,269,25,66,4,0,183,263,109,308,199
1955,264,16,107,2,0,173,241,131,291,160
1956,274,34,88,0,0,209,250,111,304,193
1957,280,10,62,9,2,167,274,128,277,149
1958,255,9,72,1,0,189,253,107,294,187
1959,245,6,72,15,1,141,273,111,280,169
1960,264,9,54,1,0,203,274,123,312,189
1961,262,14,56,11,0,185,280,86,308,222
1962,278,18,89,6,0,180,241,84,295,211
1963,260,54,103,6,0,167,250,93,301,208
1964,257,21,82,21,2,158,249,78,295,217
1965,282,7,74,2,0,248,250,103,294,191
1966,249,14,43,5,1,202,272,88,303,215
1967,256,14,51,12,1,169,280,91,317,226
1968,253,21,75,4,0,189,250,102,295,193
1969,259,31,83,13,5,172,247,109,309,200
1970,253,22,81,6,0,194,245,99,296,197
1971,247,19,54,12,0,141,264,81,322,241
1972,274,14,58,8,1,151,279,116,292,176
1973,246,6,66,15,2,156,245,103,300,197
1974,262,0,14,5,0,200,293,61,310,249
1975,242,2,46,13,1,164,263,100,326,226
1976,240,15,58,22,8,141,273,119,325,206
1977,262,3,38,2,0,195,281,100,331,231
1978,274,9,53,3,1,167,270,107,315,208
1979,247,19,61,4,0,181,261,95,314,219
1980,275,19,74,3,0,193,263,113,304,191
1981,252,15,89,8,0,218,252,121,310,189
1982,240,15,66,17,1,192,265,119,310,191
1983,252,16,70,23,2,195,270,93,295,202
1984,275,1,59,8,1,197,249,95,318,223
1985,247,38,91,4,0,184,252,116,299,183
1986,270,22,67,10,1,193,261,102,302,200
1987,257,26,83,3,2,206,257,91,308,217
1988,250,3,47,7,0,214,273,114,303,189
1989,242,5,49,9,0,178,282,77,313,236
1990,263,3,43,16,0,187,286,94,295,201
1991,263,16,79,15,2,155,257,111,299,188
1992,243,9,56,16,2,173,276,96,287,191
1993,243,20,73,9,0,189,265,88,302,214
1994,245,2,39,24,4,193,299,108,278,170
1995,264,9,59,21,0,204,266,89,294,205
1996,280,23,92,6,0,175,242,125,318,193
1997,255,18,70,13,0,176,272,113,294,181
1998,258,8,68,17,0,196,280,103,311,208
1999,234,6,54,12,0,195,279,109,290,181
2000,250,5,38,8,0,215,304,98,325,227
2001,254,2,73,17,0,196,269,110,309,199
2002,246,15,49,9,1,189,308,98,292,194
2003,241,11,92,26,0,148,264,109,288,179
2004,257,8,78,13,0,191,262,144,312,168
2005,251,10,79,20,0,200,264,111,290,179
2006,239,10,81,22,1,190,264,100,305,205
2007,246,8,56,7,1,186,298,108,292,184
2008,250,0,81,13,0,190,277,98,291,193
2009,242,15,77,10,0,189,274,89,286,197
2010,263,37,106,16,1,207,254,112,290,178
2011,235,6,75,8,0,169,289,123,287,164
2012,249,15,65,15,0,186,289,137,300,163
2013,260,13,88,16,0,181,249,144,303,159
2014,241,1,49,7,0,186,304,123,310,187
2015,254,1,64,31,2,166,284,118,305,187
2016,239,6,63,16,0,181,277,124,308,184
2017,252,8,64,16,0,182,282,129,303,174
2018,222,5,63,46,0,150,287,95,320,225
2019,245,4,67,28,0,184,283,124,303,179
2020,241,1,49,18,1,164,293,132,309,177
2021,253,5,77,7,1,194,271,127,297,170
2022,227,6,56,39,0,165,292,106,330,224
2023,228,2,57,19,0,192,298,115,288,173
2024,232,8,45,19,0,196,310,116,325,209
2025,135,3,57,12,0,72,146,97,99,2
