Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,284,5,70,2,0,186,261,131,279,148
1952,296,15,96,3,0,229,226,140,286,146
1953,273,11,74,5,0,184,273,130,281,151
1954,292,30,81,2,0,199,253,119,319,200
1955,281,22,108,0,0,210,238,142,291,149
1956,299,34,94,0,0,197,244,113,281,168
1957,295,8,69,6,0,190,269,128,317,189
1958,277,6,88,0,0,206,240,113,313,200
1959,261,13,80,6,0,123,266,110,278,168
1960,290,14,73,1,0,214,263,123,288,165
1961,286,19,65,3,0,204,278,98,308,210
1962,310,26,87,0,0,210,237,120,304,184
1963,283,63,106,3,0,179,249,116,300,184
1964,273,31,91,10,0,180,244,97,286,189
1965,305,21,87,0,0,235,236,109,282,173
1966,283,29,77,2,0,218,255,104,301,197
1967,273,9,61,1,0,234,271,123,311,188
1968,278,23,85,0,0,209,235,104,318,214
1969,277,38,110,7,0,188,232,110,309,199
1970,290,33,94,1,0,232,237,103,296,193
1971,279,14,71,5,0,179,258,122,277,155
1972,303,14,80,5,0,159,258,115,276,161
1973,270,6,77,5,0,197,238,114,284,170
1974,287,0,33,2,0,215,286,116,286,170
1975,265,3,64,11,0,185,253,100,284,184
1976,278,20,95,9,0,182,248,119,305,186
1977,283,8,53,0,0,223,278,109,329,220
1978,301,24,86,1,0,217,260,131,311,180
1979,285,29,92,1,0,225,231,124,271,147
1980,290,21,97,0,0,213,246,143,284,141
1981,281,21,92,1,0,235,248,122,287,165
1982,257,12,69,9,0,171,258,108,309,201
1983,268,13,66,11,0,207,266,93,295,202
1984,302,12,83,2,0,194,245,119,318,199
1985,281,40,92,3,0,217,238,113,294,181
1986,290,35,76,7,1,207,258,103,332,229
1987,296,34,85,1,0,191,254,90,336,246
1988,272,3,57,0,0,199,268,117,307,190
1989,267,6,51,6,0,146,279,118,316,198
1990,280,4,38,6,0,177,292,107,296,189
1991,282,15,78,3,0,163,256,124,293,169
1992,258,13,44,6,0,201,277,111,286,175
1993,283,20,69,0,0,205,258,92,290,198
1994,271,11,42,17,0,206,288,108,280,172
1995,267,17,73,12,1,190,264,108,307,199
1996,292,46,105,2,0,156,229,126,319,193
1997,262,13,64,4,0,173,256,112,288,176
1998,277,15,50,6,1,217,285,84,319,235
1999,256,6,51,7,0,202,277,109,289,180
2000,264,6,34,5,0,209,301,100,352,252
2001,265,13,77,5,0,220,259,112,312,200
2002,258,14,57,8,0,204,278,98,280,182
2003,251,17,81,18,1,162,255,102,285,183
2004,276,5,65,6,0,187,260,102,316,214
2005,266,14,68,8,0,211,269,111,321,210
2006,239,17,75,12,0,197,267,100,305,205
2007,261,10,32,4,1,203,304,110,292,182
2008,261,6,48,8,0,186,283,107,302,195
2009,262,16,70,6,0,195,271,90,286,196
2010,270,57,98,10,4,204,249,112,327,215
2011,252,10,60,3,0,182,281,124,286,162
2012,259,18,60,5,0,200,289,107,299,192
2013,263,20,84,9,0,196,257,97,318,221
2014,270,11,40,4,0,204,303,105,333,228
2015,278,0,46,12,0,195,284,117,284,167
2016,241,9,65,11,0,201,272,115,312,197
2017,253,10,48,4,0,210,282,128,310,182
2018,226,9,64,24,1,152,268,95,300,205
2019,253,3,45,20,1,208,298,124,302,178
2020,256,0,27,11,2,190,303,135,332,197
2021,256,12,60,3,1,201,273,116,325,209
2022,245,6,52,20,0,175,289,92,321,229
2023,239,2,53,10,0,212,292,122,290,168
2024,234,5,32,9,0,221,306,113,307,194
