Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,255,3,36,7,1,184,280,88,330,242
1952,247,8,67,17,4,198,243,93,286,193
1953,241,7,56,13,0,137,278,75,321,246
1954,261,23,50,8,0,195,273,100,319,219
1955,259,13,92,4,0,187,247,89,291,202
1956,264,29,76,2,0,208,257,98,304,206
1957,270,9,48,14,5,182,286,63,324,261
1958,242,5,66,4,0,183,265,107,334,227
1959,237,5,53,24,1,142,283,73,312,239
1960,248,8,37,4,0,200,288,67,313,246
1961,249,15,44,12,0,189,288,80,309,229
1962,273,17,82,6,0,170,245,84,295,211
1963,254,52,98,6,0,171,254,93,301,208
1964,246,19,79,20,2,155,254,78,295,217
1965,278,8,67,2,0,227,253,71,295,224
1966,249,14,45,4,0,207,273,84,303,219
1967,258,11,52,15,0,189,282,91,312,221
1968,249,16,69,4,0,208,252,102,319,217
1969,259,30,84,14,5,184,244,109,309,200
1970,252,23,78,7,0,213,240,97,296,199
1971,250,15,55,12,0,143,269,81,288,207
1972,272,17,69,7,0,152,275,116,292,176
1973,247,8,73,13,1,156,247,111,285,174
1974,266,0,22,3,0,209,283,68,309,241
1975,240,3,50,12,1,168,258,100,316,216
1976,248,14,66,22,1,152,274,120,309,189
1977,265,5,44,2,0,202,276,109,331,222
1978,283,14,61,2,0,172,269,107,292,185
1979,260,20,71,5,0,186,253,127,297,170
1980,276,14,70,2,0,176,265,102,304,202
1981,255,19,83,5,0,204,253,113,310,197
1982,245,15,59,13,0,170,268,77,310,233
1983,252,16,68,17,2,183,271,93,295,202
1984,272,2,55,6,0,190,258,108,318,210
1985,252,34,89,3,0,182,254,79,299,220
1986,261,21,60,10,3,174,268,102,306,204
1987,251,24,73,4,1,192,262,81,336,255
1988,243,3,31,7,0,199,283,100,304,204
1989,242,3,47,10,0,167,288,77,313,236
1990,249,2,31,15,2,185,294,47,296,249
1991,254,15,66,15,5,152,266,109,300,191
1992,238,6,40,17,2,174,291,96,287,191
1993,236,18,59,9,0,180,272,88,321,233
1994,238,1,27,26,9,190,310,96,334,238
1995,244,9,49,23,1,183,273,89,308,219
1996,267,25,74,9,1,163,246,103,326,223
1997,238,18,48,11,0,173,280,111,294,183
1998,244,7,56,14,2,196,289,84,321,237
1999,223,6,43,14,1,196,287,76,318,242
2000,237,6,34,8,3,203,307,98,325,227
2001,247,4,65,17,3,199,278,109,312,203
2002,236,14,42,11,2,183,311,96,340,244
2003,220,7,68,32,12,139,278,99,296,197
2004,242,7,65,14,0,181,269,88,318,230
2005,228,9,62,22,2,172,273,69,322,253
2006,220,13,70,25,8,173,273,95,305,210
2007,223,7,36,13,2,177,311,78,318,240
2009,223,15,59,12,0,176,284,83,291,208
2010,248,39,87,17,3,192,258,70,294,224
2011,210,5,48,8,0,158,293,79,294,215
2012,237,15,47,14,1,184,303,107,301,194
2013,237,14,68,17,3,173,258,97,315,218
2014,226,1,15,11,0,173,314,83,336,253
2015,238,1,27,30,9,169,297,81,327,246
2016,230,7,48,15,2,166,284,119,312,193
2017,239,6,43,16,0,176,291,109,317,208
2018,202,3,46,43,8,147,292,79,324,245
2019,226,4,41,28,4,178,304,78,324,246
2020,221,0,28,19,7,162,307,92,325,233
2021,244,5,37,8,1,178,281,103,314,211
2022,221,7,35,43,2,152,299,93,342,249
2023,216,1,35,25,3,188,305,95,331,236
2024,223,5,34,20,2,179,318,58,325,267
