Jahr,Heizperiode,Eistage,Frosttage,Hitzetage,Tropennacht,Niederschlagtage,Starkregentage,Vegetationsperiode,LetzterFrostFruehjahr,ErsterFrostHerbst,FrostFreiePeriode
1951,279,3,67,1,0,198,0,267,112,283,171
1952,297,10,96,3,0,232,0,229,93,286,193
1953,273,9,56,5,0,202,0,275,100,328,228
1954,292,27,73,1,0,214,0,258,117,319,202
1955,279,24,101,0,0,205,0,241,115,301,186
1956,303,33,85,0,0,209,0,249,114,304,190
1957,294,5,57,6,0,198,0,273,128,273,145
1958,279,8,84,0,0,219,0,243,103,294,191
1959,265,16,77,6,0,145,0,267,110,278,168
1960,291,12,63,0,0,226,0,271,123,312,189
1961,292,16,61,3,0,208,0,277,89,308,219
1962,312,20,81,0,0,223,0,241,120,304,184
1963,289,56,101,3,0,202,0,247,115,301,186
1964,283,26,91,4,0,179,1,244,101,286,185
1965,313,13,82,0,0,219,0,236,92,282,190
1966,280,27,74,2,0,221,0,245,111,298,187
1967,270,7,51,0,0,234,0,276,123,311,188
1968,271,16,81,3,0,197,1,235,101,292,191
1969,271,38,103,4,1,192,0,233,109,309,200
1970,285,29,90,4,0,211,0,236,104,296,192
1971,275,14,58,4,0,186,0,262,119,287,168
1972,296,17,65,5,0,172,0,261,115,292,177
1973,267,5,55,6,0,206,0,249,110,284,174
1974,286,1,25,2,0,200,0,293,115,288,173
1975,262,0,52,12,0,190,0,264,100,302,202
1976,269,15,82,12,0,192,0,257,119,323,204
1977,279,4,51,2,0,208,0,275,109,329,220
1978,308,20,79,0,0,212,0,261,107,290,183
1979,298,33,96,0,0,214,0,227,126,299,173
1980,305,18,100,0,0,213,0,244,143,286,143
1981,289,23,94,2,0,226,0,245,122,287,165
1982,277,16,81,8,0,172,0,253,132,300,168
1983,275,10,72,5,0,202,0,259,105,273,168
1984,310,7,89,1,0,188,0,241,129,301,172
1985,296,38,97,1,0,206,0,238,115,302,187
1986,298,31,75,4,0,193,0,255,103,332,229
1987,309,30,85,1,0,220,0,256,90,334,244
1988,287,2,48,0,0,227,0,277,116,307,191
1989,274,8,53,1,0,179,0,283,119,276,157
1990,287,3,36,4,0,208,0,294,107,296,189
1991,286,12,78,3,0,168,0,257,127,293,166
1992,257,7,50,6,0,185,0,274,124,286,162
1993,296,13,74,0,0,188,0,256,124,289,165
1994,286,9,47,15,1,205,0,280,108,278,170
1995,275,17,87,11,0,181,0,259,141,273,132
1996,301,46,110,3,0,166,0,228,126,281,155
1997,269,14,71,5,0,174,0,259,112,263,151
1998,284,10,55,2,0,225,0,281,103,316,213
1999,268,3,49,3,0,215,0,271,109,289,180
2000,272,6,36,4,0,230,0,304,100,352,252
2001,280,13,78,3,0,231,0,255,112,311,199
2002,270,13,59,6,0,211,0,277,98,303,205
2003,261,14,96,9,0,166,0,253,102,285,183
2004,291,3,70,4,0,203,0,265,101,311,210
2005,284,13,73,2,0,208,0,271,111,319,208
2006,247,13,81,12,0,195,0,266,104,304,200
2007,267,8,38,4,0,205,0,302,110,292,182
2008,263,4,54,8,0,201,0,279,107,302,195
2009,271,13,65,3,0,209,0,273,89,285,196
2010,281,48,105,10,1,192,0,247,112,290,178
2011,261,7,60,2,0,170,0,269,124,286,162
2012,269,15,63,4,0,210,0,285,107,299,192
2013,269,18,90,5,0,192,0,261,117,323,206
2014,265,12,42,2,0,195,0,297,122,323,201
2015,286,1,42,6,0,219,0,288,117,324,207
2016,245,11,73,9,0,195,0,271,115,299,184
2017,259,7,45,1,0,232,0,278,128,309,181
2018,229,8,64,20,0,174,0,267,95,292,197
2019,254,2,51,16,2,204,0,301,126,302,176
2020,269,1,25,10,0,195,0,304,135,333,198
2021,257,14,60,2,0,214,0,271,115,325,210
2022,257,5,49,13,0,182,0,295,117,321,204
2023,246,3,53,7,0,230,1,294,116,320,204
2024,244,4,37,6,0,218,0,307,113,307,194
2025,150,4,54,4,0,89,0,150,97,208,111
